2021-02-14 13:06:25 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:25 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:25 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:25 configure libnss-systemd:amd64 241-7~deb10u6 <none>
2021-02-14 13:06:25 status unpacked libnss-systemd:amd64 241-7~deb10u6
2021-02-14 13:06:25 status half-configured libnss-systemd:amd64 241-7~deb10u6
2021-02-14 13:06:25 status installed libnss-systemd:amd64 241-7~deb10u6
2021-02-14 13:06:25 configure libpam-systemd:amd64 241-7~deb10u6 <none>
2021-02-14 13:06:25 status unpacked libpam-systemd:amd64 241-7~deb10u6
2021-02-14 13:06:25 status half-configured libpam-systemd:amd64 241-7~deb10u6
2021-02-14 13:06:25 status installed libpam-systemd:amd64 241-7~deb10u6
2021-02-14 13:06:25 trigproc dbus:amd64 1.12.20-0+deb10u1 <none>
2021-02-14 13:06:25 status half-configured dbus:amd64 1.12.20-0+deb10u1
2021-02-14 13:06:25 status installed dbus:amd64 1.12.20-0+deb10u1
2021-02-14 13:06:25 trigproc libc-bin:amd64 2.28-10 <none>
2021-02-14 13:06:25 status half-configured libc-bin:amd64 2.28-10
2021-02-14 13:06:25 status installed libc-bin:amd64 2.28-10
2021-02-14 13:06:25 trigproc ca-certificates:all 20200601~deb10u2 <none>
2021-02-14 13:06:25 status half-configured ca-certificates:all 20200601~deb10u2
2021-02-14 13:06:26 status installed ca-certificates:all 20200601~deb10u2
2021-02-14 13:08:03 startup archives unpack
2021-02-14 13:08:03 install libaio1:amd64 <none> 0.3.112-3
2021-02-14 13:08:03 status triggers-pending libc-bin:amd64 2.28-10
2021-02-14 13:08:03 status half-installed libaio1:amd64 0.3.112-3
2021-02-14 13:08:03 status unpacked libaio1:amd64 0.3.112-3
2021-02-14 13:08:03 install libconfig-inifiles-perl:all <none> 3.000001-1
